user_id,timestamp,event_type,value,category,country
1102,2023-11-02T18:55:53,click,0.0,home,IN
1435,2023-02-03T05:23:01,click,0.0,clothing,IN
1860,2023-10-11T04:25:51,view,0.0,groceries,IN
1270,2023-10-03T09:00:48,click,0.0,electronics,DE
1106,2023-04-04T23:40:59,purchase,14.6,groceries,US
1071,2023-05-18T12:54:47,click,0.0,groceries,IN
1700,2023-09-10T05:07:45,click,0.0,fitness,AU
1020,2023-03-18T09:28:20,click,0.0,clothing,CA
1614,2023-07-15T02:14:16,click,0.0,clothing,US
1121,2023-03-04T14:24:07,view,0.0,clothing,US
1466,2023-01-02T20:48:17,click,0.0,home,IN
1214,2023-11-22T15:24:40,click,0.0,groceries,US
1330,2023-01-23T08:29:35,view,0.0,fitness,US
1458,2023-02-19T02:44:20,click,0.0,electronics,CA
1087,2023-01-27T16:23:53,click,0.0,clothing,GB
1372,2023-03-10T14:07:49,view,0.0,clothing,FR
1099,2023-09-01T00:37:38,view,0.0,groceries,IN
1871,2023-12-31T18:34:04,signup,0.0,electronics,US
1663,2023-03-20T00:00:02,click,0.0,fitness,IN
1130,2023-01-25T03:43:21,click,0.0,clothing,AU
1661,2023-08-14T05:15:38,click,0.0,groceries,IN
1308,2023-02-09T23:54:33,click,0.0,books,US
1769,2023-12-11T11:26:49,view,0.0,fitness,IN
1343,2023-03-30T00:38:22,purchase,131.75,home,GB
1491,2023-10-17T19:06:51,view,0.0,fitness,US
1413,2023-01-21T00:58:50,click,0.0,groceries,US
1805,2023-03-04T00:31:39,view,0.0,clothing,IN
1385,2023-05-17T14:07:23,purchase,43.46,fitness,US
1191,2023-03-20T09:28:49,click,0.0,electronics,GB
1955,2023-04-09T17:35:08,view,0.0,books,CA
1276,2023-03-06T06:23:32,signup,0.0,electronics,IN
1160,2023-03-24T01:11:49,view,0.0,electronics,AU
1459,2023-03-21T01:01:53,view,0.0,electronics,US
1313,2023-05-17T03:18:22,click,0.0,groceries,IN
1021,2023-06-20T08:18:44,click,0.0,groceries,GB
1252,2023-06-22T06:04:54,click,0.0,fitness,US
1747,2023-05-24T03:01:45,view,0.0,home,IN
1856,2023-12-25T00:12:09,click,0.0,books,GB
1560,2023-09-24T02:05:11,purchase,5.84,fitness,US
1474,2023-04-15T19:58:03,purchase,75.72,electronics,DE
1058,2023-02-25T10:38:07,view,0.0,fitness,DE
1510,2023-07-17T02:38:14,click,0.0,clothing,US
1681,2023-06-28T18:49:11,click,0.0,fitness,US
1475,2023-07-18T10:48:29,view,0.0,fitness,IN
